Character;Sentence
Moaning Myrtle;What do you want?
Harry;To ask you how you died.
Moaning Myrtle;It was dreadful.
Moaning Myrtle;It happened right here in this very cubicle.
Moaning Myrtle;I'd hidden because Olive Hornby was teasing me about my glasses.
Moaning Myrtle;I was crying, and then I heard somebody come in.
Harry;Who was it, Myrtle?
Moaning Myrtle;I don't know. I was distraught!
Moaning Myrtle;But they said something funny, a kind of made-up language.
Moaning Myrtle;And I realized it was a boy, so I unlocked the door to tell him to go away and I died.
Harry;Just like that? How?
Moaning Myrtle;I just remember seeing a pair of great, big, yellow eyes over there by that sink.
Harry;This is it.
Harry;This is it, Ron. I think this is the entrance to the Chamber of Secrets.
Ron;Say something. 
Ron;Harrysay something in Parseltongue!
Gilderoy Lockhart;Excellent, Harry. Good work.
Gilderoy Lockhart;Well, then, I'll just be...
Gilderoy Lockhart;There's no need for me to stay.
Harry;Yes, there is.
Harry;You first.
Gilderoy Lockhart;Now, boys, what good will it do?
Ron;Better you than us.
Gilderoy Lockhart;But... Obviously, yes.
Gilderoy Lockhart;Sure you don't want to test it first?
Gilderoy Lockhart;It's really quite filthy down here.
Harry;All right. Let's go.
Moaning Myrtle;Oh, Harry?
Moaning Myrtle;If you die down there, you're welcome to share my toilet.
Harry;Thanks, Myrtle.
Harry;Now, remember: Any sign of movement, close your eyes straightaway.
Ron;Go on.
Harry;This way.
Ron;What's this?
Gilderoy Lockhart;It looks like a snake.
Harry;It's a snake skin.
Ron;Bloody hell.
Ron;Whatever shed this must be 60 feet long. Or more.
Ron;Heart of a lion, this one.
Gilderoy Lockhart;The adventure ends here, boys.
Gilderoy Lockhart;But don't fret.
Gilderoy Lockhart;The world will know our story.
Gilderoy Lockhart;How I was too late to save the girl.
Gilderoy Lockhart;How you two tragically lost your minds at the sight of her mangled body.
Gilderoy Lockhart;So...You first, Mr. Potter.
Gilderoy Lockhart;Say goodbye to your memories.
Gilderoy Lockhart;Obliviate!
Ron;Harry! Harry
Harry;Ron! Ron, are you okay?
Ron;I'm fine.
Gilderoy Lockhart;Hello. Who are you?
Ron;RonWeasley.
Gilderoy Lockhart;Really?
Gilderoy Lockhart;And who am I?
Ron;Lockhart's Memory Charm backfired.
Ron;He hasn't got a clue who he is.
Gilderoy Lockhart;It's an odd sort of place, isn't it?
Gilderoy Lockhart;Do you live here?
Ron;No.
Gilderoy Lockhart;Really?
Ron;What do I do now?
Harry;You wait here and try and shift some of this rock so we can get back through.
Harry;I'll go on and find Ginny.
Ron;Okay.
Harry;Ginny! Ginny, please don't be dead.
Harry;Wake up, wake up.
Harry;Please wake up.
Tom Riddle;She won't wake.
Harry;Tom. Tom Riddle.
Harry;What do you mean, she won't wake?
Harry;She's not...?
Tom Riddle;She's still alive, but only just.
Harry;Are you a ghost?
Tom Riddle;A memory preserved in a diary for 50 years.
Harry;She's cold as ice.
Harry;Ginny, please don't be dead. Wake up.
Harry;You've got to help me, Tom.
Harry;There's a basilisk.
Tom Riddle;It won't come until it's called.
Harry;Give me my wand, Tom.
Tom Riddle;You won't be needing it.
Harry;We've got to go. We've got to save her.
Tom Riddle;I'm afraid I can't do that.
Tom Riddle;You see, as poor Ginny grows weaker, I grow stronger.
Tom Riddle;Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets.
Harry;No. She couldn't. She wouldn't.
Tom Riddle;It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.
Harry;But why?
Tom Riddle;Because I told her to.
Tom Riddle;You'll find I can be very persuasive.
Tom Riddle;Not that she knew what she was doing.
Tom Riddle;She was, shall we say, in a kind of trance.
Tom Riddle;Still, the power of the diary began to scare her.
Tom Riddle;She tried to dispose of it in the girls' bathroom.
Tom Riddle;And then who should find it but you?
Tom Riddle;The very person I was most anxious to meet.
Harry;And why did you want to meet me?
Tom Riddle;I knew I had to talk to you, meet you if I could.
Tom Riddle;So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
Harry;Hagrid's my friend.
Harry;And you framed him, didn't you?
Tom Riddle;It was my word against Hagrid's.
Tom Riddle;Only Dumbledore seemed to think he was innocent.
Harry;I'll bet Dumbledore saw right through you.
Tom Riddle;He certainly kept an annoyingly close watch on me after that.
Tom Riddle; I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day
Tom Riddle;I would be able to lead another to finish Salazar Slytherin's noble work.
Harry;Well, you haven't finished it this time.
Harry;In a few hours, the Mandrake Draught will be ready.
Harry;And everyone who was Petrified will be all right again.
Tom Riddle;Haven't I told you? Killing Mudbloods doesn't matter to me anymore.
Tom Riddle;For many months now, my new target has been you.
Tom Riddle;How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?
Tom Riddle;How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?
Harry;Why do you care how I escaped?
Harry;Voldemort was after your time.
Tom Riddle;Voldemort is my past, present and future.
Harry;You. You're the Heir of Slytherin.
Harry;You're Voldemort.
Tom Riddle;Surely you didn't think .I was going to keep my filthy Muggle father's name?
Tom Riddle;No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.
Harry;Albus Dumbledore is the greatest sorcerer in the world.
Tom Riddle;Dumbledore's been driven out of this castle by the mere memory of me.
Harry;He'll never be gone. 
Harry;Not as long as those who remain are loyal to him.
Harry;Fawkes?
Tom Riddle;So this is what Dumbledore sends his great defender.
Tom Riddle;A songbird and an old hat.
Tom Riddle;Let's match the power of Lord Voldemort, Heir of Salazar Slytherin against the famous HarryPotter.
Tom Riddle;Parseltongue won't save you now, Potter. 
Tom Riddle;It only obeys me.
Tom Riddle;No! Your bird may have blinded the basilisk, but it can still hear you.
Tom Riddle;Yes, Potter.
Tom Riddle;The process is nearly complete.
Tom Riddle;In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory.
Tom Riddle;Lord Voldemort will return .very much alive.
Harry;Ginny?
Tom Riddle;Remarkable, isn't it? how quickly the venom of the basilisk penetrates the body?
Tom Riddle;I'd guess you have little more than a minute to live.
Tom Riddle;You'll be with your dear Mudblood mother soon, Harry.
Tom Riddle;Funny, the damage a silly little book can do especially in the hands of a silly little girl.
Tom Riddle;What are you doing?
Tom Riddle;Stop. No!
Harry;Ginny?
GINNY;Harry, It was me.
GINNY;But I swear, I didn't mean to.
GINNY;Riddle made me, and...
GINNY;Harry, you're hurt.
Harry;Don't worry.
Harry;Ginny, you need to get yourself out.
Harry;Follow the Chamber and you'll find Ron.
Harry;You were brilliant, Fawkes.
Harry;I just wasn't quick enough.
Harry;Of course.
Harry;Phoenix tears have healing powers.
Harry;Thanks.
Harry;It's all right, Ginny.
Harry;It's over.
Harry;It's just a memory.
Gilderoy Lockhart;Amazing!
Gilderoy Lockhart;This is just like magic!
Dumbledore;You both realize, of course that in the past few hours, you have broken perhaps a dozen school rules.
HarryAND Ron;Yes, sir.
Dumbledore;There is sufficient evidence to have you both expelled.
HarryAND Ron;Yes, sir.
Dumbledore;Therefore, it is only fitting that you both receive Special Awards for Services to the School.
Ron;Thanks, sir.
Dumbledore;Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban.
Dumbledore;I believe we want our gamekeeper back.
Dumbledore;Harry, First, I want to thank you, Harry.
Dumbledore;You must have shown me real loyalty down in the Chamber.
Dumbledore;Nothing but that could have called Fawkes to you.
Dumbledore;And second I sense that something is troubling you.
Dumbledore;Am I right, Harry?
Harry;It's just...
Harry;You see, sir, I couldn't help but notice certain things, certain...
Harry;Certain similarities between Tom Riddle and me.
Dumbledore;I see.
Dumbledore;Well, you can speak Parseltongue, Harry. Why?
Dumbledore;Because Lord Voldemort can speak Parseltongue.
Dumbledore;If I'm not mistaken, Harryhe transferred some of his powers to you the night he gave you that scar.
Harry;Voldemort transferred some of his powers to me?
Dumbledore;Not intentionally but yes.
Harry;So the Sorting Hat was right.
Harry;I should be in Slytherin.
Dumbledore;It's true. You possess many of the qualities that Voldemort himself prizes.
Dumbledore;Determination, resourcefulness and if I may say so, a certain disregard for the rules.
Dumbledore;Why, then, did the Sorting Hat place you in Gryffindor?
Harry;Because I asked it to.
Dumbledore;Exactly, Harry. Exactly.
Dumbledore;Which makes you different from Voldemort.
Dumbledore;It is not our abilities that show what we truly are.
Dumbledore;It is our choices.
Dumbledore;If you want proof why you belong in Gryffindor then I suggest you look more closely at this.
Dumbledore;Be careful.
Harry;Godric Gryffindor.
Dumbledore;It would take a true Gryffindor to pull that out of the hat.
Harry;Dobby.
Harry;So this is your master.
Harry;The family you serve is the Malfoys.
Lucius Malfoy;I'll deal with you later.
Lucius Malfoy;Out of my way, Potter.
Lucius Malfoy;So it's true. You have returned.
Dumbledore;When the governors learned that Arthur Weasley's daughter was taken into the Chamber, they saw fit to summon me back.
Lucius Malfoy;Ridiculous.
Dumbledore;Curiously, Lucius, several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place.
Lucius Malfoy;How dare you!
Dumbledore;Beg your pardon?
Lucius Malfoy;My sole concern has always been and will always be the welfare of this school and, of course, its students.
Lucius Malfoy;The culprit has been identified, I presume?
Dumbledore;Yes.
Lucius Malfoy;And?
Lucius Malfoy;Who was it?
Dumbledore;Voldemort.
Dumbledore;Only this time he chose to act through somebody else by means of this.
Lucius Malfoy;I see.
Dumbledore;Fortunately, our young Mr. Potter discovered it.
Dumbledore;One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.
Dumbledore;The consequences for the one responsible would be severe.
Lucius Malfoy;Well, let us hope that Mr. Potter will always be around to save the day.
Harry;Don't worry. I will be.
Lucius Malfoy;Dumbledore.
Lucius Malfoy;Come, Dobby. We're leaving.
Harry;Sir? I wonder if I could have that?
Harry;Mr. Malfoy.
Harry;Mr. Malfoy!
Harry;I have something of yours.
Lucius Malfoy;Mine? I don't know what you're talking about.
Harry;I think you do, sir.
Harry;I think you slipped the diary into Ginny Weasley's cauldron that day at Diagon Alley.
Lucius Malfoy;You do, do you?
Lucius Malfoy;Why don't you prove it?
Lucius Malfoy;Come, Dobby.
Harry;Open it.
Lucius Malfoy;Dobby.
Dobby;Master has given Dobbya sock.
Lucius Malfoy;What? I didn't give...
Dobby;Master has presented Dobbywith clothes.
Dobby;Dobbyis free.
Lucius Malfoy;You lost me my servant!
Dobby;You shall not harm HarryPotter.
Lucius Malfoy;Your parents were meddlesome fools too.
Lucius Malfoy;Mark my words, Potter.
Lucius Malfoy;One day soon you are going to meet the same sticky end.
Dobby;HarryPotter freed Dobby.
Dobby;How can Dobbyever repay him?
Harry;Just promise me something.
Dobby;Anything, sir.
Harry;Never try to save my life again.
Studente;Welcome back, Sir Nicholas.
Sir Nicholas;Thank you.
Studente;Good evening, Sir Nicholas.
Sir Nicholas;Good evening.
Studente;Good to see you, Sir Nicholas.
Sir Nicholas;Thank you.
Sir Nicholas;Hello.
Sir Nicholas;Hermione! Welcome back.
Hermione;Thanks, Sir Nicholas.
Neville;Harry. It's Hermione.
Ron;Welcome back, Hermione.
Hermione;It's good to be back.
Hermione;Congratulations.
Hermione;I can't believe you solved it.
Harry;We had loads of help from you.
Harry;We couldn't have done it without you.
Hermione;Thanks.
Mcgonagall;Could I have your attention, please?
Dumbledore;Before we begin the feast let us have a round of applause for Professor Sprout, Madam Pomfrey whose Mandrake juice has been so successfully administered to all who had been Petrified.
Dumbledore;Also, in light of the recent events as a school treat all exams have been canceled.
Hermione;Oh, no.
Hagrid;Sorry I'm late.
Hagrid;The owl that delivered my release papers got all lost and confused.
Hagrid;Some ruddy bird called Errol.
Hagrid;And I'd just like to say that if it hadn't been for you, Harryand Ronand Hermione, of course I would still be you-know-where so I'd just like to say thanks.
Harry;There's no Hogwarts without you, Hagrid.
